depth_m,temperature_C,viscosity_cp
0.0,25.0,35.0
61.224489795918366,27.551020408163264,32.12991044121606
122.44897959183673,30.10204081632653,29.53766471715607
183.6734693877551,32.6530612244898,27.192699487818206
244.89795918367346,35.20408163265306,25.06818478614371
306.1224489795918,37.755102040816325,23.14052552170382
367.3469387755102,40.30612244897959,21.38893490572691
428.57142857142856,42.85714285714286,19.795068684725653
489.7959183673469,45.40816326530612,18.3427108958688
551.0204081632653,47.95918367346938,17.017503365950358
612.2448979591836,50.51020408163265,15.806712425311797
673.469387755102,53.06122448979592,14.699027345239816
734.6938775510204,55.61224489795919,13.684385870175621
795.9183673469388,58.16326530612245,12.753822935397812
857.1428571428571,60.714285714285715,11.89933926180892
918.3673469387755,63.265306122448976,11.1137870225836
979.5918367346939,65.81632653061224,10.390770198510525
1040.8163265306123,68.36734693877551,9.724557593641531
1102.0408163265306,70.91836734693877,9.110006781662381
1163.265306122449,73.46938775510205,8.542497505535012
1224.4897959183672,76.0204081632653,8.017873266117673
1285.7142857142858,78.57142857142857,7.532390016004965
1346.938775510204,81.12244897959184,7.082671028012239
1408.1632653061224,83.67346938775509,6.665667137933534
1469.3877551020407,86.22448979591837,6.278621672066389
1530.612244897959,88.77551020408163,5.91903946455596
1591.8367346938776,91.3265306122449,5.584659450396451
1653.061224489796,93.87755102040816,5.273430389060396
1714.2857142857142,96.42857142857143,4.983489332981051
1775.5102040816325,98.9795918367347,4.713142505982849
1836.734693877551,101.53061224489795,4.460848300493028
1897.9591836734694,104.08163265306122,4.225202140031705
1959.1836734693877,106.63265306122449,4.00492298595997
2020.408163265306,109.18367346938776,3.7988412955197637
2081.6326530612246,111.73469387755102,3.6058882624646027
2142.8571428571427,114.28571428571428,3.4250861925977722
2204.081632653061,116.83673469387755,3.255539884764522
2265.3061224489797,119.38775510204081,3.096428903678773
2326.530612244898,121.93877551020408,2.9470006447359287
2387.7551020408164,124.48979591836735,2.806564102956601
2448.9795918367345,127.0408163265306,2.6744842686642722
2510.204081632653,129.59183673469386,2.550177081631343
2571.4285714285716,132.14285714285714,2.4331048834110764
2632.6530612244896,134.69387755102042,2.322772314560703
2693.877551020408,137.24489795918367,2.2187226095848853
2755.1020408163263,139.79591836734693,2.120534247802109
2816.326530612245,142.34693877551018,2.027817923056999
2877.5510204081634,144.89795918367346,1.9402137993530257
2938.7755102040815,147.44897959183675,1.857389023135571
3000.0,150.0,1.7790354661774201
