Mud A,Mud B,Mud C,Depth_m
12.338814077592822,12.333399400368814,12.247342211664606,1.0
12.337244700767023,12.331516148177855,12.245772834838807,26.201680672268907
12.335721074993454,12.329687797249573,12.244249209065238,51.403361344537814
12.334241667802377,12.32791250862028,12.24276980187416,76.60504201680672
12.332805004295237,12.326188512411711,12.24133313836702,101.80672268907563
12.331409664758661,12.324514104967822,12.239937798830447,127.00840336134453
12.330054282386243,12.322887646120918,12.238582416458026,152.21008403361344
12.32873754110282,12.321307556580813,12.237265675174605,177.41176470588235
12.327458173486322,12.319772315441014,12.235986307558106,202.61344537815125
12.326214958782408,12.318280457796318,12.234743092854192,227.81512605042016
12.325006721007458,12.316830572466378,12.233534855079242,253.01680672268907
12.323832327135648,12.315421299820205,12.232360461207433,278.21848739495795
12.322690685366096,12.314051329696744,12.231218819437881,303.4201680672269
12.321580743466251,12.312719399416928,12.230108877538035,328.6218487394958
12.320501487187897,12.311424291882904,12.229029621259683,353.8235294117647
12.319451938752357,12.310164833760254,12.22798007282414,379.0252100840336
12.318431155401578,12.308939893739321,12.226959289473363,404.2268907563025
12.317438228012074,12.307748380871915,12.225966362083858,429.42857142857144
12.3164722797687,12.306589242979868,12.225000413840485,454.6302521008403
12.315532464895533,12.305461465132066,12.224060598967316,479.8319327731092
12.314617967441153,12.30436406818681,12.223146101512937,505.03361344537814
12.31372800011584,12.303296107396434,12.222256134187623,530.2352941176471
12.312861803178249,12.302256671071326,12.221389937250033,555.4369747899159
12.312018643369331,12.301244879300624,12.220546777441115,580.6386554621848
12.311197812891288,12.300259882726975,12.219725946963074,605.8403361344538
12.310398628429544,12.29930086137288,12.218926762501328,631.0420168067227
12.309620430215729,12.2983670235163,12.218148564287512,656.2436974789916
12.30886258112986,12.29745760461326,12.217390715201645,681.4453781512605
12.308124465839924,12.296571866265337,12.216652599911708,706.6470588235294
12.307405489977155,12.295709095230013,12.21593362404894,731.8487394957983
12.306705079345452,12.29486860247197,12.215233213417237,757.0504201680671
12.306022679163366,12.294049722253467,12.214550813235151,782.2521008403361
12.305357753337226,12.293251811262099,12.213885887409011,807.453781512605
12.304709783764011,12.292474247774239,12.213237917835794,832.655462184874
12.304078269662648,12.291716430852604,12.212606403734432,857.8571428571429
12.303462726932503,12.29097777957643,12.211990861004287,883.0588235294117
12.302862687537827,12.290257732302818,12.21139082160961,908.2605042016806
12.302277698917058,12.289555745957898,12.210805832988843,933.4621848739496
12.301707323415883,12.288871295356488,12.210235457487668,958.6638655462184
12.301151137743004,12.288203872549031,12.209679271814789,983.8655462184873
12.30060873244765,12.287552986194607,12.209136866519433,1009.0672268907563
12.300079711417881,12.286918160958884,12.208607845489665,1034.268907563025
