Depth,Temperature,K,Viscosity,ECD
1.0,30.03,0.44991167309642693,0.12575502059895302,11.040455219773369
26.201680672268907,30.786050420168067,0.4476971296489487,0.1254503403022458,11.039145800428255
51.403361344537814,31.542100840336133,0.4455043958021241,0.12514866060397153,11.037849276704149
76.60504201680672,32.2981512605042,0.4433331769941806,0.12484994097786811,11.03656547443202
101.80672268907563,33.05420168067227,0.44118318364726905,0.12455414158336922,11.035294222389746
127.00840336134453,33.81025210084034,0.4390541310668925,0.12426122325176771,11.034035352242636
152.21008403361344,34.5663025210084,0.4369457393436769,0.123971147472701,11.032788698485357
177.41176470588235,35.32235294117647,0.43485773325742966,0.12368387638095125,11.031554098385204
202.61344537815125,36.078403361344535,0.4327898421834204,0.12339937274355152,11.030331391926687
227.81512605042016,36.83445378151261,0.43074180000082934,0.12311759994718968,11.029120421757396
253.01680672268907,37.59050420168067,0.4287133450033026,0.1228385219859027,11.027921033135113
278.21848739495795,38.34655462184874,0.4267042198115647,0.12256210344905362,11.026733073876146
303.4201680672269,39.102605042016805,0.4247141712880293,0.12228830950958364,11.025556394304832
328.6218487394958,39.85865546218487,0.42274295045336097,0.12201710591253248,11.024390847204213
353.8235294117647,40.614705882352936,0.42079031240493414,0.12174845896381989,11.023236287767807
379.0252100840336,41.37075630252101,0.41885601623714347,0.12148233551928184,11.022092573552504
404.2268907563025,42.126806722689075,0.41693982496351434,0.1212187029739543,11.020959564432504
429.42857142857144,42.88285714285714,0.4150415054405717,0.12095752925159908,11.019837122554302
454.6302521008403,43.63890756302521,0.4131608282934189,0.12069878279446478,11.018725112292683
479.8319327731092,44.39495798319328,0.4112975678429844,0.12044243255327729,11.01762340020771
505.03361344537814,45.151008403361345,0.40945150203489467,0.1201884479774541,11.016531855002661
530.2352941176471,45.90705882352941,0.4076224123699302,0.11993679900553618,11.015450347482915
555.4369747899159,46.66310924369748,0.4058100838360268,0.11968745605583275,11.01437875051574
580.6386554621848,47.41915966386554,0.4040143048417829,0.11944039001727305,11.013316938990979
605.8403361344538,48.17521008403361,0.4022348671514327,0.11919557224045982,11.012264789782607
631.0420168067227,48.93126050420168,0.40047156582125226,0.11895297452892005,11.011222181711119
656.2436974789916,49.68731092436975,0.39872419913736046,0.11871256913054747,11.010188995506756
681.4453781512605,50.44336134453781,0.39699256855487985,0.11847432872923211,11.009165113773538
706.6470588235294,51.199411764705886,0.39527647863842635,0.11823822643667305,11.008150420954069
731.8487394957983,51.95546218487395,0.39357573700389054,0.11800423578436825,11.007144803295114
757.0504201680671,52.71151260504202,0.3918901542614843,0.11777233071577921,11.006148148813935
782.2521008403361,53.46756302521008,0.3902195439600158,0.11754248557866386,11.005160347265322
807.453781512605,54.22361344537815,0.38856372253236826,0.11731467511757569,11.004181290109372
832.655462184874,54.979663865546215,0.3869225092421482,0.11708887446652344,11.003210870479935
857.8571428571429,55.73571428571428,0.3852957261314794,0.11686505914178856,11.00224898315375
883.0588235294117,56.491764705882346,0.38368319796990946,0.11664320503489563,11.00129552452023
908.2605042016806,57.24781512605042,0.3820847522044084,0.11642328840573317,11.000350392551903
