Depth,ECD_0.02,ECD_0.025,ECD_0.03,ECD_0.035
1.0,10.984706212552194,11.01376036309128,11.040455219773369,11.065335453545808
26.201680672268907,10.983671199509534,11.012582340470193,11.039145800428255,11.063903569366
51.403361344537814,10.982646379638362,11.011415919429087,11.037849276704149,11.062485786883848
76.60504201680672,10.981631615269096,11.010260943276329,11.03656547443202,11.061081915640981
101.80672268907563,10.980626771061493,11.009117257971472,11.035294222389746,11.059691768401539
127.00840336134453,10.979631713957641,11.007984712071764,11.034035352242636,11.058315161087155
152.21008403361344,10.978646313136062,11.00686315667989,11.032788698485357,11.056951912713433
177.41176470588235,10.977670439966863,11.005752445392934,11.031554098385204,11.05560184532792
202.61344537815125,10.976703967967934,11.004652434252534,11.030331391926687,11.05426478394951
227.81512605042016,10.975746772762161,11.003562981696172,11.029120421757396,11.052940556509235
253.01680672268907,10.974798732035627,11.002483948509596,11.027921033135113,11.05162899379245
278.21848739495795,10.973859725496759,11.00141519778034,11.026733073876146,11.050329929382322
303.4201680672269,10.972929634836433,11.000356594852294,11.025556394304832,11.049043199604613
328.6218487394958,10.972008343688964,10.999308007281325,11.024390847204213,11.047768643473738
353.8235294117647,10.971095737594005,10.998269304791897,11.023236287767807,11.046506102640043
379.0252100840336,10.970191703959303,10.997240359234684,11.022092573552504,11.045255421338272
404.2268907563025,10.969296132024285,10.996221044545134,11.020959564432504,11.044016446337208
429.42857142857144,10.96840891282449,10.99521123670297,11.019837122554302,11.042789026890452
454.6302521008403,10.967529939156778,10.994210813692606,11.018725112292683,11.041573014688296
479.8319327731092,10.96665910554533,10.993219655464445,11.01762340020771,11.040368263810695
505.03361344537814,10.96579630820841,10.99223764389704,11.016531855002661,11.039174630681257
530.2352941176471,10.964941445025847,10.991264662760104,11.015450347482915,11.0379919740223
555.4369747899159,10.964094415507274,10.990300597678333,11.01437875051574,11.036820154810865
580.6386554621848,10.963255120761039,10.98934533609604,11.013316938990979,11.035659036235739
605.8403361344538,10.962423463463814,10.988398767242566,11.012264789782607,11.0345084836554
631.0420168067227,10.96159934783088,10.987460782098447,11.011222181711119,11.033368364556905
656.2436974789916,10.96078267958705,10.986531273362322,11.010188995506756,11.032238548515664
681.4453781512605,10.959973365938234,10.985610135418584,11.009165113773538,11.03111890715611
706.6470588235294,10.959171315543635,10.984697264305714,11.008150420954069,11.03000931411322
731.8487394957983,10.958376438488527,10.983792557685309,11.007144803295114,11.028909644994872
757.0504201680671,10.957588646257644,10.982895914811795,11.006148148813935,11.027819777345016
782.2521008403361,10.956807851709138,10.982007236502778,11.005160347265322,11.026739590607646
807.453781512605,10.956033969049088,10.981126425110041,11.004181290109372,11.025668966091546
832.655462184874,10.955266913806572,10.980253384491169,11.003210870479935,11.024607786935801
857.8571428571429,10.95450660280927,10.979388019981771,11.00224898315375,11.02355593807603
883.0588235294117,10.953752954159574,10.978530238368304,11.00129552452023,11.022513306211355
