Nozzle Area,DP_Bit,Velocity,HHP
0.0003,10666666.666666668,133.33333333333334,426666.66666666674
0.00034736842105263153,7955922.865013776,115.15151515151517,318236.91460055107
0.00039473684210526315,6161066.666666668,101.33333333333334,246442.66666666672
0.0004421052631578947,4911564.625850341,90.47619047619048,196462.58503401367
0.0004894736842105263,4006937.2181755127,81.7204301075269,160277.4887270205
0.0005368421052631578,3331026.528258363,74.50980392156863,133241.0611303345
0.0005842105263157895,2812758.7046505967,68.46846846846847,112510.34818602387
0.0006315789473684211,2406666.666666667,63.333333333333336,96266.66666666669
0.0006789473684210526,2082567.1534162613,58.91472868217055,83302.68613665046
0.0007263157894736842,1819785.759294266,55.072463768115945,72791.43037177065
0.0007736842105263157,1603776.204359295,51.70068027210885,64151.048174371805
0.0008210526315789474,1424063.1163708083,48.717948717948715,56962.524654832334
0.0008684210526315789,1272947.6584022043,46.06060606060607,50917.90633608817
0.0009157894736842105,1144669.044787951,43.67816091954023,45786.761791518045
0.0009631578947368422,1034847.2632804802,41.53005464480874,41393.89053121921
0.0010105263157894737,940104.1666666669,39.583333333333336,37604.16666666668
0.0010578947368421053,857800.549491349,37.81094527363184,34312.02197965396
0.0011052631578947368,785850.3401360547,36.1904761904762,31434.01360544219
0.0011526315789473684,722587.1020203915,34.70319634703196,28903.48408081566
0.0012,666666.6666666667,33.333333333333336,26666.66666666667
